traceability health: 52%
283 pending, 61 deferred, 10 exempt

undiscussed gaps (the gate fails on these):
  ! T-001                    task_no_sr         task declares no justification (satisfies/corrects/mitigates/implements/maintains/explores)
  ! T-002                    task_no_sr         task declares no justification (satisfies/corrects/mitigates/implements/maintains/explores)
  ! T-003                    task_no_sr         task declares no justification (satisfies/corrects/mitigates/implements/maintains/explores)
  ! T-004                    task_no_sr         task declares no justification (satisfies/corrects/mitigates/implements/maintains/explores)
  ! T-005                    task_no_sr         task declares no justification (satisfies/corrects/mitigates/implements/maintains/explores)
  ! T-006                    task_no_sr         task declares no justification (satisfies/corrects/mitigates/implements/maintains/explores)
  ! T-007                    task_no_sr         task declares no justification (satisfies/corrects/mitigates/implements/maintains/explores)
  ! T-011                    task_no_sr         task declares no justification (satisfies/corrects/mitigates/implements/maintains/explores)
  ! T-012                    task_no_sr         task declares no justification (satisfies/corrects/mitigates/implements/maintains/explores)
  ! T-013                    task_no_sr         task declares no justification (satisfies/corrects/mitigates/implements/maintains/explores)
  ! T-014                    task_no_sr         task declares no justification (satisfies/corrects/mitigates/implements/maintains/explores)
  ! T-015                    task_no_sr         task declares no justification (satisfies/corrects/mitigates/implements/maintains/explores)
  ! T-016                    task_no_sr         task declares no justification (satisfies/corrects/mitigates/implements/maintains/explores)
  ! T-017                    task_no_sr         task declares no justification (satisfies/corrects/mitigates/implements/maintains/explores)
  ! T-018                    task_no_sr         task declares no justification (satisfies/corrects/mitigates/implements/maintains/explores)
  ! T-019                    task_no_sr         task declares no justification (satisfies/corrects/mitigates/implements/maintains/explores)
  ! T-020                    task_no_sr         task declares no justification (satisfies/corrects/mitigates/implements/maintains/explores)
  ! T-025                    task_no_sr         task declares no justification (satisfies/corrects/mitigates/implements/maintains/explores)
  ! T-026                    task_no_sr         task declares no justification (satisfies/corrects/mitigates/implements/maintains/explores)
  ! T-027                    task_no_sr         task declares no justification (satisfies/corrects/mitigates/implements/maintains/explores)
  ! T-028                    task_no_sr         task declares no justification (satisfies/corrects/mitigates/implements/maintains/explores)
  ! T-030                    task_no_sr         task declares no justification (satisfies/corrects/mitigates/implements/maintains/explores)
  ! T-031                    task_no_plan       task declares no source_plan
  ! plan:2026-07-16-factory-orchestrator.md plan_no_spec       plan references no spec
  ! plan:2026-07-16-scope-guard-pi-extension.md plan_no_spec       plan references no spec
  ! plan:2026-07-24-already-done-task-routing.md plan_no_spec       plan references no spec
  ! plan:2026-07-27-in-session-mission-control.md plan_no_spec       plan references no spec
  ! plan:2026-07-27-review-focus-guide.md plan_no_spec       plan references no spec
  ! plan:2026-07-28-dev-escalation-pairing-handoff.md plan_no_spec       plan references no spec
  ! plan:2026-07-28-factory-state-visibility.md plan_no_spec       plan references no spec
  ! plan:2026-07-29-coherence-evidence-connectors.md plan_no_spec       plan references no spec
